region	gene	logFC	logCPM	F	PValue	FDR
jcf7180000417096_12801_13200	HELPU_000001	0.861963507730232	3.37041767105839	10.0989325593103	0.00471731010471691	0.0458730749491411
jcf7180000417096_63101_63900	HELPU_000007	1.61358056921507	1.96325510325117	13.0108314260554	0.00175542801766864	0.0254556256680332
jcf7180000417096_191901_192000	HELPU_000020	5.88534290423718	1.47997083336327	14.76163211174	0.0017878049336621	0.025715643234773
jcf7180000417096_220801_220900	HELPU_000024	6.87592396719485	-0.141885673510786	25.2252825408158	0.000103918395152315	0.0050663887946029
jcf7180000417096_340901_341100	HELPU_000036	3.90212502722677	-0.148588507620131	11.5197627025287	0.00287506679740572	0.0340414516795721
jcf7180000417096_351701_352100	HELPU_000038	-1.46625941461829	1.19510204519539	14.2079498721942	0.00120133381037686	0.0204416586054069
jcf7180000417096_436201_436600	HELPU_000045	-1.88050841049412	2.20204773409211	17.5274464297956	0.000453305779398771	0.0118160353115643
jcf7180000417096_623901_624700	HELPU_000061	1.98705081332921	3.48366108174464	18.8534924572947	0.000315109368428549	0.00960066280936965
jcf7180000417096_635301_635600	HELPU_000062	-0.928365243550939	3.23394779759629	15.148033492552	0.0009016394141964	0.0173138825750893
jcf7180000417096_703601_703900	HELPU_000070	3.25308473662245	4.63948869828069	14.5475815403873	0.00108336352974316	0.0192504451073733
jcf7180000417096_723901_724300	HELPU_000072	4.86590018063033	4.0109808233718	19.86534262025	0.000240894512188318	0.00828315635564986
jcf7180000417096_824001_824100	HELPU_000078	3.72809994598523	0.730781418490875	40.8426946238568	3.07577684617132e-06	0.000699326027353298
jcf7180000417096_913901_914000	HELPU_000085	4.5289739582638	1.16487011997445	19.4222759690638	0.000270707874874272	0.00884128215240742
jcf7180000417096_986101_986300	HELPU_000089	-1.61663061810225	1.1150984724253	16.7423152562479	0.000564983754718168	0.0133851614485245
jcf7180000417096_1013601_1013700	HELPU_000092	-1.68423692729198	0.586479710045199	13.1478732311852	0.0016793579838627	0.0248175353030566
jcf7180000417096_1043201_1043300	HELPU_000096	-3.87636727543133	-0.496444023527052	12.22589488423	0.00226860160732903	0.0295594756681253
jcf7180000417096_1086901_1087100	HELPU_000099	2.77078616310431	2.25909821724514	15.0714325822513	0.000924062424778597	0.0175479962966293
jcf7180000417096_1102401_1102600	HELPU_000100	2.45364541404379	0.474036658963132	12.9927162496925	0.00176570935096723	0.0255260098051527
jcf7180000417096_1181201_1181400	HELPU_000106	1.71946346060504	1.20505855599485	17.044681532474	0.000518798147348137	0.012743143551195
jcf7180000420409_102601_102700	HELPU_000111	4.18397589072181	0.841604522935659	15.1037972557984	0.0010784687505615	0.0192005430804543
jcf7180000420409_184101_184600	HELPU_000121	1.52516842854182	1.76992171990153	13.7218859825127	0.00139978097961363	0.0223237787665809
jcf7180000420409_218401_218500	HELPU_000125	4.56159818461476	0.527272542226551	13.5620250246426	0.00147217589879057	0.0229715358368644
jcf7180000420409_307801_307900	HELPU_000135	2.40774507688553	1.61729177850366	10.5243740815477	0.00405821674297325	0.0418846514499711
jcf7180000420409_335501_335700	HELPU_000140	5.52202172721832	1.89824756426289	11.947161669796	0.00351430250843132	0.038450327536669
jcf7180000420409_344601_344800	HELPU_000142	3.27440857660665	-0.09517718297379	11.921316921531	0.00266079653086655	0.0325041142980557
jcf7180000420409_360901_361100	HELPU_000144	3.73430662468695	1.04417477987221	11.4634457164896	0.00293068092648164	0.0344499090161205
jcf7180000420409_418601_418700	HELPU_000150	-1.96458629973264	0.0311059353702591	9.85396918069974	0.00515752392758533	0.0484427080154001
jcf7180000420409_432101_432300	HELPU_000152	-2.18305793059758	2.10838572197334	25.4221761872149	6.2092196395887e-05	0.00380506665320598
jcf7180000420409_561901_562000	HELPU_000165	-4.38633291097773	0.302092808219145	23.4981353957094	9.72279849622902e-05	0.00488231417405222
jcf7180000420409_629801_630100	HELPU_000174	3.50122237045251	1.1781979052645	41.9714413750339	2.54880322366252e-06	0.000627726621619936
jcf7180000420409_643001_643200	HELPU_000176	2.57585142048263	-0.066170379083206	25.9887994732217	5.44582906019612e-05	0.00354265836980421
jcf7180000420409_684101_684200	HELPU_000179	4.67621874741979	4.13355570085985	9.95974716629395	0.00496398617751852	0.0472852329265388
jcf7180000420409_727101_727800	HELPU_000184	-3.14515286956621	0.849154943234839	16.4965367338595	0.000607340094947115	0.0139501685144681
jcf7180000420409_748501_748600	HELPU_000186	3.55280319840295	-0.585623652665328	9.92409599468439	0.00502829923488106	0.0476666472422428
