gene	region	logFC_DEG	padj	logFC_DTR	F	FDR	DTR_direction
HELPU_000962	jcf7180000347071_551201_551300	-1.69031575135559	0.00341485450547773	5.04706543049967	27.8342612623481	0.00184733316865525	DTR_up
HELPU_002986	jcf7180000392797_231901_232000	2.02787633893991	0.00680075034230964	3.12891327568481	16.2606218827443	0.0130666513895016	DTR_up
HELPU_005662	jcf7180000417121_301901_302200	6.14030591278245	0.00173605519421022	3.07370088338513	11.1562143960201	0.0444116154237007	DTR_up
HELPU_005784	jcf7180000347593_41401_41500	1.60725697199546	0.0465732686457146	2.84889596885274	16.6055234996577	0.0108777958007081	DTR_up
HELPU_007292	jcf7180000350331_103701_104500	-4.05674760740224	0.021127707629551	-3.1932168760806	24.1115632879048	0.00184444033015234	DTR_down
HELPU_009175	jcf7180000420593_4101_4400	2.22093624952034	0.0294139612599468	-3.6374415824569	16.6330569998875	0.0107960056716833	DTR_down
HELPU_012237	jcf7180000393402_78601_79000	2.32851215471008	0.0166427795044636	-1.50211567878391	13.3575440652663	0.0247885060111324	DTR_down
HELPU_012899	jcf7180000357183_39701_39900	4.21222636580349	0.0146350145000115	1.91294129707088	14.524928466751	0.0182895369557736	DTR_up
HELPU_015352	jcf7180000414076_27701_27900	4.82664576288701	0.000353380221293237	3.62146088758442	30.3379836998173	0.000487117051188473	DTR_up
HELPU_015742	jcf7180000417727_19201_19300	-7.88328326761601	0.00227131029486197	4.40159702483062	19.0385850798968	0.00639253698117145	DTR_up
HELPU_016386	jcf7180000360184_39201_39400	2.60380020383464	0.000313562289600871	3.32357545186501	17.3500624604752	0.00925327830639641	DTR_up
HELPU_016796	jcf7180000361137_2401_2600	5.87642533481773	0.00013251569477204	3.40653395389226	12.9674646858817	0.0295122907003449	DTR_up
HELPU_018162	jcf7180000353494_35701_35900	2.12941233266052	0.00917886598926591	-1.87729502142398	11.2764960735446	0.0429591328058051	DTR_down
HELPU_018162	jcf7180000353494_32301_32500	2.12941233266052	0.00917886598926591	2.32812541524593	14.7698767512824	0.0170955075742468	DTR_up
HELPU_018162	jcf7180000353494_36101_36400	2.12941233266052	0.00917886598926591	-2.99678741260966	12.0479343861135	0.0353324938691888	DTR_down
HELPU_018688	jcf7180000393398_47901_48000	1.52964092027616	0.0215981587734251	4.02107781947743	38.5878699785146	0.000104069859007432	DTR_up
HELPU_020122	jcf7180000418895_27201_27600	-7.35611416077385	0.00108686762914084	-4.11181676662805	14.5355698693571	0.040329723184504	DTR_down
HELPU_020185	jcf7180000393029_17201_17500	2.00981552651865	0.0241807657603767	-2.16969215182181	18.8381461749579	0.00628832978927945	DTR_down
HELPU_021401	jcf7180000393969_27001_27600	2.54702745351315	0.00617756364072087	1.50161992806128	13.0823935981756	0.0266953237059599	DTR_up
