gene	region	logFC_DEG	padj	logFC_DTR	F	FDR	DTR_direction
HELPU_000366	jcf7180000347063_849901_850000	2.47173473182468	0.000306389323054325	-4.69839202019782	12.6680668200824	0.0288149605168186	DTR_down
HELPU_000706	jcf7180000416159_343701_344100	1.66281710126727	0.0448018837138317	1.13990542282945	17.1772851080146	0.0102066607780186	DTR_up
HELPU_000962	jcf7180000347071_551201_551300	-1.19236318565076	0.00108257118086314	3.30866308175195	14.4902648373765	0.0236831920686709	DTR_up
HELPU_001006	jcf7180000421689_454901_455100	2.60364259820056	0.015679432219415	1.55877221082096	11.768675806607	0.0335648703243974	DTR_up
HELPU_001229	jcf7180000392477_330701_331200	2.45679509104453	8.43201508994096e-06	1.66820879147628	28.5101291343472	0.00132704979744522	DTR_up
HELPU_002109	jcf7180000417113_210301_210500	-3.31973919868121	0.0118927072597166	2.77116372238677	16.1539926797384	0.0125660570715287	DTR_up
HELPU_002276	jcf7180000422581_154901_155100	4.30755670067418	0.00859113769455838	1.92449695202527	15.3383047359566	0.0150800874438586	DTR_up
HELPU_002276	jcf7180000422581_155201_155500	4.30755670067418	0.00859113769455838	1.632256993387	13.6619745615655	0.0217018747545883	DTR_up
HELPU_002304	jcf7180000347200_155801_156000	-2.13003970496667	0.000256398030916908	3.15963519850694	26.2444862010935	0.0019826119437316	DTR_up
HELPU_002769	jcf7180000417141_148201_148400	5.19902152008103	0.00152439985202098	1.90389264163539	20.177909825696	0.00571187717125938	DTR_up
HELPU_002986	jcf7180000392797_231901_232000	1.3495009427878	0.028040689836018	5.40626516939812	17.9508399483453	0.00968101333151619	DTR_up
HELPU_003123	jcf7180000348922_63601_63700	-0.955886675855474	0.028791936536849	3.24600905130361	11.3861980475472	0.0365637698888222	DTR_up
HELPU_003446	jcf7180000392812_341801_341900	2.77532169121302	0.00371821514583626	3.15341797693154	14.3458582670824	0.0186736715747251	DTR_up
HELPU_004069	jcf7180000347637_88901_89100	1.58585565485835	0.0379226212696868	1.46884338749392	10.6780973219461	0.0434191283327274	DTR_up
HELPU_004398	jcf7180000393217_152401_152700	-1.88851734801321	0.00299755440638289	-2.18188294810654	13.7272086733076	0.0213407416906292	DTR_down
HELPU_004590	jcf7180000347422_174401_174600	-1.37439513931474	0.0283880019450502	-3.13008229014972	22.6981487995555	0.00367857722829949	DTR_down
HELPU_004590	jcf7180000347422_180001_180300	-1.37439513931474	0.0283880019450502	-2.84516937802995	39.6870359608882	0.000265269974887191	DTR_down
HELPU_005026	jcf7180000354452_52701_52800	4.32039648833592	0.0358530076228227	-1.79376087307722	11.8728387206466	0.0327173331271293	DTR_down
HELPU_005517	jcf7180000417136_178001_179000	-3.38601565989978	0.0258709052376673	-1.9098246904715	30.3055205098149	0.00101234006834536	DTR_down
HELPU_005559	jcf7180000415699_102401_102700	2.05061787729271	0.0440224915227361	1.21222196601958	20.4131061805753	0.00548770854423723	DTR_up
HELPU_005980	jcf7180000393238_125501_125700	-1.74600791194378	0.0287408945185429	1.80383836395138	16.4753532643091	0.0117689978362414	DTR_up
HELPU_006056	jcf7180000349747_107901_108100	-1.29785984240316	0.0220590714371184	5.21411122467368	32.1258427038253	0.000747384115626954	DTR_up
HELPU_006073	jcf7180000350312_65601_65800	-1.6806723485188	0.000523145170914594	2.62826621921602	10.2193657694078	0.0483061718532388	DTR_up
HELPU_006238	jcf7180000348030_110201_110400	-1.44138537159525	0.00141548544683363	2.86435619148592	14.310584404748	0.0188281248824041	DTR_up
